CMDLINE python2 19-Quick-Implement-for-difference-distance.py
MEM 183.105469 1514433630.9703
MEM 183.105469 1514433631.0713
MEM 183.105469 1514433631.1734
MEM 183.105469 1514433631.2756
MEM 183.105469 1514433631.3782
MEM 183.105469 1514433631.4833
MEM 183.105469 1514433631.5845
MEM 183.105469 1514433631.6846
MEM 183.105469 1514433631.7859
MEM 183.105469 1514433631.8890
MEM 183.105469 1514433631.9900
MEM 183.105469 1514433632.0952
MEM 183.105469 1514433632.2001
MEM 183.105469 1514433632.3053
MEM 183.105469 1514433632.4055
MEM 183.105469 1514433632.5107
MEM 183.105469 1514433632.6121
MEM 183.105469 1514433632.7167
MEM 183.105469 1514433632.8219
MEM 183.105469 1514433632.9248
MEM 183.105469 1514433633.0294
MEM 183.105469 1514433633.1317
MEM 183.105469 1514433633.2369
MEM 183.105469 1514433633.3387
MEM 183.105469 1514433633.4438
MEM 183.105469 1514433633.5489
MEM 183.105469 1514433633.6541
MEM 183.105469 1514433633.7591
MEM 183.105469 1514433633.8643
MEM 183.105469 1514433633.9646
MEM 183.105469 1514433634.0699
MEM 183.105469 1514433634.1751
MEM 183.105469 1514433634.2795
MEM 183.105469 1514433634.3847
MEM 183.105469 1514433634.4898
MEM 183.105469 1514433634.5948
MEM 183.355469 1514433634.6968
MEM 183.468750 1514433634.8010
MEM 183.519531 1514433634.9061
MEM 183.519531 1514433635.0068
MEM 183.574219 1514433635.1094
MEM 183.574219 1514433635.2145
MEM 183.574219 1514433635.3175
MEM 183.574219 1514433635.4214
MEM 183.574219 1514433635.5257
MEM 183.574219 1514433635.6295
MEM 183.574219 1514433635.7300
MEM 183.574219 1514433635.8352
MEM 183.574219 1514433635.9403
MEM 183.574219 1514433636.0452
MEM 183.574219 1514433636.1504
MEM 183.574219 1514433636.2518
MEM 183.574219 1514433636.3531
MEM 184.121094 1514433636.4583
MEM 184.121094 1514433636.5629
MEM 184.121094 1514433636.6679
MEM 184.121094 1514433636.7729
MEM 184.121094 1514433636.8747
MEM 184.835938 1514433636.9797
MEM 184.835938 1514433637.0815
MEM 184.835938 1514433637.1818
MEM 184.835938 1514433637.2848
MEM 184.835938 1514433637.3895
MEM 184.835938 1514433637.4947
MEM 184.835938 1514433637.5998
MEM 185.269531 1514433637.7018
MEM 186.035156 1514433637.8068
MEM 227.714844 1514433637.9120
MEM 236.363281 1514433638.0172
MEM 238.363281 1514433638.1223
MEM 240.320312 1514433638.2274
MEM 241.714844 1514433638.3296
MEM 244.156250 1514433638.4347
MEM 246.246094 1514433638.5378
MEM 247.667969 1514433638.6430
MEM 247.675781 1514433638.7482
MEM 247.675781 1514433638.8485
MEM 247.675781 1514433638.9519
MEM 247.675781 1514433639.0570
MEM 247.675781 1514433639.1615
MEM 247.675781 1514433639.2633
MEM 247.675781 1514433639.3685
MEM 247.679688 1514433639.4736
MEM 247.679688 1514433639.5788
MEM 247.679688 1514433639.6839
MEM 247.679688 1514433639.7891
MEM 247.679688 1514433639.8942
