CMDLINE python2.7 19-Quick-Implement-for-difference-distance.py
MEM 182.144531 1514434428.8116
MEM 182.144531 1514434428.9134
MEM 182.144531 1514434429.0166
MEM 182.144531 1514434429.1169
MEM 182.144531 1514434429.2184
MEM 182.144531 1514434429.3207
MEM 182.144531 1514434429.4239
MEM 182.144531 1514434429.5291
MEM 182.144531 1514434429.6343
MEM 182.144531 1514434429.7360
MEM 182.144531 1514434429.8368
MEM 182.144531 1514434429.9376
MEM 182.144531 1514434430.0395
MEM 182.144531 1514434430.1408
MEM 182.144531 1514434430.2460
MEM 182.152344 1514434430.3624
MEM 182.152344 1514434430.4637
MEM 182.152344 1514434430.5639
MEM 182.152344 1514434430.6665
MEM 182.152344 1514434430.7715
MEM 182.152344 1514434430.8733
MEM 182.152344 1514434430.9736
MEM 182.152344 1514434431.0752
MEM 182.152344 1514434431.1786
MEM 182.152344 1514434431.2838
MEM 182.152344 1514434431.3889
MEM 182.152344 1514434431.4926
MEM 182.152344 1514434431.5960
MEM 182.152344 1514434431.7005
MEM 182.152344 1514434431.8020
MEM 182.152344 1514434431.9072
MEM 182.152344 1514434432.0118
MEM 182.152344 1514434432.1124
MEM 182.152344 1514434432.2185
MEM 182.152344 1514434432.3188
MEM 182.152344 1514434432.4226
MEM 182.152344 1514434432.5278
MEM 182.152344 1514434432.6330
MEM 182.152344 1514434432.7352
MEM 182.152344 1514434432.8383
MEM 182.152344 1514434432.9408
MEM 182.152344 1514434433.0411
MEM 182.152344 1514434433.1461
MEM 182.152344 1514434433.2512
MEM 182.152344 1514434433.3555
MEM 182.152344 1514434433.4574
MEM 182.152344 1514434433.5618
MEM 182.152344 1514434433.6657
MEM 182.152344 1514434433.7709
MEM 182.152344 1514434433.8757
MEM 182.152344 1514434433.9783
MEM 182.152344 1514434434.0791
MEM 182.152344 1514434434.1839
MEM 182.152344 1514434434.2889
MEM 182.152344 1514434434.3898
MEM 182.152344 1514434434.4901
MEM 182.152344 1514434434.5951
MEM 182.152344 1514434434.6962
MEM 182.152344 1514434434.7985
MEM 182.152344 1514434434.8993
MEM 182.152344 1514434435.0039
MEM 182.152344 1514434435.1067
MEM 182.152344 1514434435.2119
MEM 182.152344 1514434435.3159
MEM 182.152344 1514434435.4175
MEM 182.152344 1514434435.5226
MEM 182.152344 1514434435.6278
MEM 182.152344 1514434435.7316
MEM 182.152344 1514434435.8325
MEM 182.152344 1514434435.9333
MEM 182.152344 1514434436.0337
MEM 182.152344 1514434436.1344
MEM 182.152344 1514434436.2347
MEM 182.152344 1514434436.3381
MEM 182.152344 1514434436.4434
MEM 182.152344 1514434436.5435
MEM 182.152344 1514434436.6462
MEM 182.152344 1514434436.7514
MEM 182.152344 1514434436.8522
MEM 182.152344 1514434436.9570
MEM 182.152344 1514434437.0619
MEM 182.152344 1514434437.1656
MEM 182.152344 1514434437.2691
MEM 182.152344 1514434437.3711
MEM 182.152344 1514434437.4732
MEM 182.152344 1514434437.5753
MEM 182.152344 1514434437.6755
MEM 182.152344 1514434437.7784
MEM 182.152344 1514434437.8804
MEM 182.152344 1514434437.9827
MEM 182.152344 1514434438.0840
MEM 182.152344 1514434438.1843
MEM 182.152344 1514434438.2871
