	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
122655	2950 LOCH RAVEN RD BALTIMORE | MD 21218-4221	0x00FB0F0000200100000020	1	4221	21218	 Loch Raven Road 	2950
122667	3623 SPRINGDALE AVE BALTIMORE | MD 21216-1336	0x005C0B0000200200000020	1	1336	21216	 Springdale Avenue 	3623
122672	623 N CLINTON ST BALTIMORE | MD 21205-2812	0x000A180000201E00000020	1	2812	21205	 North Clinton Street 	623
122756	3226 WESTMONT AVE BALTIMORE | MD 21216-3833	0x008A090000424500000020	1	3833	21216	 Westmont Avenue 	3226
122771	4945 EDGEMERE AVE BALTIMORE | MD 21215-5917	0x00FD110000410C00000020	1	5917	21215	 Edgemere Avenue 	4945
122772	3618 ASH ST BALTIMORE | MD 21211-1925	0x00BE0D0000411800000020	1	1925	21211	 Ash Street 	3618
122823	1215 N CHESTER ST BALTIMORE | MD 21213-3330	0x00FE050000202700000020	1	3330	21213	 North Chester Street 	1215
122852	3015 LORENA AVE BALTIMORE | MD 21230-2733	0x00441D0000435301000020	1	2733	21230	 Lorena Avenue 	3015
122897	1334 W NORTH AVE BALTIMORE | MD 21217-3538	0x00560D0000200C00000020	1	3538	21217	 West North Avenue 	1334
122969	508 SAINT MARY ST BALTIMORE | MD 21201-1924	0x00F3010000200D00000020	1	1924	21201	 Saint Mary Street 	508
122975	2214 SIDNEY AVE BALTIMORE | MD 21230-3132	0x000D1D0000201100000020	1	3132	21230	 Sidney Avenue 	2214
122983	1007 N CHARLES ST BALTIMORE | MD 21201-5426	0x00FA010000200400000020	1	5426	21201	 North Charles Street 	1007
123010	3331 W GARRISON AVE BALTIMORE | MD 21215-5827	0x00FD110000413200000042	1	5827	21215	 West Garrison Avenue 	3331
123019	546 SAINT MARY ST BALTIMORE | MD 21201-1924	0x00F3010000202000000020	1	1924	21201	 Saint Mary Street 	546
123020	3100 E FAIRMOUNT AVE BALTIMORE | MD 21224-1300	0x00B3060000202A00000020	1	1300	21224	 East Fairmount Avenue 	3100
123025	1200 MERIDENE DR BALTIMORE | MD 21239-1942	0x005A140000417500000020	1	1942	21239	 Meridene Drive 	1200
123110	922 N MOUNT ST BALTIMORE | MD 21217-2120	0x0049000000201C00000020	1	2120	21217	 North Mount Street 	922
123113	3722 FLEETWOOD AVE BALTIMORE | MD 21206-1525	0x00E3150000450500000020	1	1525	21206	 Fleetwood Avenue 	3722
123124	216 N PORT ST BALTIMORE | MD 21224-1026	0x009A060000205500000020	1	1026	21224	 North Port Street 	216
123137	2926 PRESSTMAN ST BALTIMORE | MD 21216-3928	0x0069090000410800000020	1	3928	21216	 Presstman Street 	2926
123139	2222 CEDLEY ST BALTIMORE | MD 21230-3116	0x00111D0000201B00000020	1	3116	21230	 Cedley Street 	2222
123146	5402 WABASH AVE BALTIMORE | MD 21215-4811	0x0007200000201700000020	1	4811	21215	 Wabash Avenue 	5402
123189	2204 AIKEN ST BALTIMORE | MD 21218-5515	0x00AA0F0000450E00000020	1	5515	21218	 Aiken Street 	2204
123242	3517 LUCILLE AVE BALTIMORE | MD 21215-5906	0x00FF110000203700000020	1	5906	21215	 Lucille Avenue 	3517
123276	1514 W LANVALE ST BALTIMORE | MD 21217-2108	0x0057000000200800000020	1	2108	21217	 West Lanvale Street 	1514
123286	1927 E HOFFMAN ST BALTIMORE | MD 21213-3241	0x00EC050000200D00000020	1	3241	21213	 East Hoffman Street 	1927
123306	2246 SIDNEY AVE BALTIMORE | MD 21230-3138	0x000D1D0000411700000020	1	3138	21230	 Sidney Avenue 	2246
123365	2800 REISTERSTOWN RD APT 2 BALTIMORE | MD 21215-7974	0x00B30C0000200100000020	1	7974	21215	 Reisterstown Road 	2800
123440	4916 BELAIR RD BALTIMORE | MD 21206-5601	0x00D5160000430800000020	1	5601	21206	 Belair Road 	4916
123477	2724 REISTERSTOWN RD BALTIMORE | MD 21215-7991	0x00B20C0000200D00000020	1	7991	21215	 Reisterstown Road 	2724
123483	3600 LUCILLE AVE BALTIMORE | MD 21215-5909	0x0000120000201200000020	1	5909	21215	 Lucille Avenue 	3600
123503	74 S KOSSUTH ST BALTIMORE | MD 21229-3621	0x00CE080000200400000042	1	3621	21229	 South Kossuth Street 	74
123514	1917 N ROSEDALE ST BALTIMORE | MD 21216-3029	0x00BB0B0000201D00000020	1	3029	21216	 North Rosedale Street 	1917
123554	2101 CHELSEA TER BALTIMORE | MD 21216-2421	0x00F80A0000200400000020	1	2421	21216	 Chelsea Ter 	2101
123555	1220 W NORTH AVE BALTIMORE | MD 21217-3533	0x00570D0000200B00000020	1	3533	21217	 West North Avenue 	1220
123565	1500 N ROSEDALE ST BALTIMORE | MD 21216-3832	0x0093090000203900000049	1	3832	21216	 North Rosedale Street 	1500
123566	6506 HOPETON AVE BALTIMORE | MD 21215-2721	0x00C5100000201B00000020	1	2721	21215	 Hopeton Avenue 	6506
123575	4401-21 MARBLE HALL RD BALTIMORE | MD 21218	0x00830F0000200300000020	1	0	21218	 Marble Hall Road 	4401-21
123609	2636 DULANY ST BALTIMORE | MD 21223-2835	0x005D080000202F00000020	1	2835	21223	 Dulany Street 	2636
123631	1222 W NORTH AVE BALTIMORE | MD 21217-3533	0x00570D0000200B00000020	1	3533	21217	 West North Avenue 	1222
123686	4806 REISTERSTOWN RD BALTIMORE | MD 21215-5518	0x007C0C0000450400000020	1	5518	21215	 Reisterstown Road 	4806
123715	735 E 21ST ST BALTIMORE | MD 21218-6127	0x00B10F0000201900000020	1	6127	21218	 East 21St Street 	735
123735	1412 RAMSAY ST BALTIMORE | MD 21223-3529	0x0018010000202100000020	1	3529	21223	 Ramsay Street 	1412
123740	4903 CHALGROVE AVE BALTIMORE | MD 21215-6013	0x0007120000200B00000020	1	6013	21215	 Chalgrove Avenue 	4903
123764	1616 N CAROLINE ST BALTIMORE | MD 21213-2247	0x005C040000200E00000020	1	2247	21213	 North Caroline Street 	1616
123789	821 N FULTON AVE BALTIMORE | MD 21217-1426	0x0055000000200B00000020	1	1426	21217	 North Fulton Avenue 	821
123849	3916 W GARRISON AVE BALTIMORE | MD 21215-5734	0x00DD110000200300000048	1	5734	21215	 West Garrison Avenue 	3916
123862	3236 NORMOUNT AVE BALTIMORE | MD 21216-3821	0x008A090000202A00000020	1	3821	21216	 Normount Avenue 	3236
123863	3831 BEEHLER AVE BALTIMORE | MD 21215-5505	0x007C0C0000431600000020	1	5505	21215	 Beehler Avenue 	3831
123898	311 LONEYS LN BALTIMORE | MD 21224-1341	0x000F180000200600000020	1	1341	21224	 Loneys Lane 	311
123899	6412 ROSEMONT AVE BALTIMORE | MD 21206-1834	0x001B160000200600000020	1	1834	21206	 Rosemont Avenue 	6412
123912	429 S SMALLWOOD ST BALTIMORE | MD 21223-2945	0x0021010000202700000020	1	2945	21223	 South Smallwood Street 	429
123915	5017 CHALGROVE AVE BALTIMORE | MD 21215-5124	0x00F1110000200900000020	1	5124	21215	 Chalgrove Avenue 	5017
123919	3825 BEEHLER AVE BALTIMORE | MD 21215-5505	0x007C0C0000431300000020	1	5505	21215	 Beehler Avenue 	3825
123989	3812 BELLE AVE BALTIMORE | MD 21215-5402	0x00840B0000200B00000020	1	5402	21215	 Belle Avenue 	3812
124015	503 N STRICKER ST BALTIMORE | MD 21223-1241	0x007C000000203400000020	1	1241	21223	 North Stricker Street 	503
124021	414 S SMALLWOOD ST BALTIMORE | MD 21223-2944	0x0020010000200800000020	1	2944	21223	 South Smallwood Street 	414
124096	3508 VIRGINIA AVE BALTIMORE | MD 21215-6221	0x007D0C0000201D00000020	1	6221	21215	 Virginia Avenue 	3508
124114	2008 E LANVALE ST BALTIMORE | MD 21213-2413	0x00B3050000200500000020	1	2413	21213	 East Lanvale Street 	2008
124125	2227 W BALTIMORE ST BALTIMORE | MD 21223-2128	0x00CC000000201800000020	1	2128	21223	 West Baltimore Street 	2227
124226	3600 GLENMORE AVE BALTIMORE | MD 21206-2317	0x00E31500004A0100000020	1	2317	21206	 Glenmore Avenue 	3600
124227	515 N WASHINGTON ST BALTIMORE | MD 21205-2218	0x0072060000200800000020	1	2218	21205	 North Washington Street 	515
124272	2659 OSWEGO AVE BALTIMORE | MD 21215-7054	0x00110D0000202200000020	1	7054	21215	 Oswego Avenue 	2659
124290	1409 MCHENRY ST BALTIMORE | MD 21223-3155	0x0018010000204A00000020	1	3155	21223	 Mchenry Street 	1409
124293	1933 HOLLINS ST BALTIMORE | MD 21223-2210	0x00E0000000201400000020	1	2210	21223	 Hollins Street 	1933
124303	4210 WHITE AVE BALTIMORE | MD 21206-2605	0x0075160000201D00000020	1	2605	21206	 White Avenue 	4210
124315	2416 FRANCIS ST BALTIMORE | MD 21217-1832	0x004F0D0000200900000020	1	1832	21217	 Francis Street 	2416
124322	2130 E NORTH AVE BALTIMORE | MD 21213-1537	0x0049100000204100000020	1	1537	21213	 East North Avenue 	2130
124332	228 S FULTON AVE BALTIMORE | MD 21223-3005	0x0004010000204100000020	1	3005	21223	 South Fulton Avenue 	228
124366	4301 SHELDON AVE BALTIMORE | MD 21206-6436	0x0029170000200100000020	1	6436	21206	 Sheldon Avenue 	4301
124367	5105 LINDEN HEIGHTS AVE BALTIMORE | MD 21215-5705	0x00DC110000200500000042	1	5705	21215	 Linden Heights Avenue 	5105
124378	1400 E MADISON ST BALTIMORE | MD 21205-1435	0x00CA040000200100000020	1	1435	21205	 East Madison Street 	1400
124433	622 N CASTLE ST BALTIMORE | MD 21205-2204	0x0063060000201700000020	1	2204	21205	 North Castle Street 	622
124440	2909 BELMONT AVE BALTIMORE | MD 21216-3916	0x008B090000411500000020	1	3916	21216	 Belmont Avenue 	2909
124443	3407 EDMONDSON AVE BALTIMORE | MD 21229-3061	0x00EB080000200300000020	1	3061	21229	 Edmondson Avenue 	3407
124451	129 S CALVERTON RD BALTIMORE | MD 21223-2110	0x00DE000000205100000020	1	2110	21223	 South Calverton Road 	129
124514	4058 EDGEWOOD RD BALTIMORE | MD 21215-7230	0x001C0C0000501E00000020	1	7230	21215	 Edgewood Road 	4058
124548	2519 OSWEGO AVE BALTIMORE | MD 21215-7034	0x00130D0000201C00000020	1	7034	21215	 Oswego Avenue 	2519
124602	3413 W FRANKLIN ST BALTIMORE | MD 21229-3054	0x00EA080000200800000020	1	3054	21229	 West Franklin Street 	3413
124604	315 W MADISON ST BALTIMORE | MD 21201-4626	0x0009020000201E00000020	1	4626	21201	 West Madison Street 	315
124659	3411 W FRANKLIN ST BALTIMORE | MD 21229-3054	0x00EA080000200700000020	1	3054	21229	 West Franklin Street 	3411
124668	309 NOTTINGHAM RD BALTIMORE | MD 21229-2437	0x005E1F0000200900000043	1	2437	21229	 Nottingham Road 	309
124677	1822 N BOND ST BALTIMORE | MD 21213-2306	0x004D040000203100000020	1	2306	21213	 North Bond Street 	1822
124688	3529 W BELVEDERE AVE BALTIMORE | MD 21215-5802	0x00E2110000200F00000020	1	5802	21215	 West Belvedere Avenue 	3529
124689	30 S FULTON AVE BALTIMORE | MD 21223-2307	0x00E3000000203A00000020	1	2307	21223	 South Fulton Avenue 	30
124728	527 S BENTALOU ST BALTIMORE | MD 21223-2827	0x00B8020000203000000020	1	2827	21223	 South Bentalou Street 	527
124752	48 S FULTON AVE BALTIMORE | MD 21223-2307	0x00E3000000203100000020	1	2307	21223	 South Fulton Avenue 	48
124755	2724-26 HARFORD RD BALTIMORE | MD 21218	0x002B100000201400000020	1	0	21218	 Harford Road 	2724-26
124799	910 N MILTON AVE BALTIMORE | MD 21205-1317	0x0037060000205800000020	1	1317	21205	 North Milton Avenue 	910
124801	3517 W BELVEDERE AVE BALTIMORE | MD 21215-5802	0x00E2110000200900000020	1	5802	21215	 West Belvedere Avenue 	3517
124833	420 W FRANKLIN ST BALTIMORE | MD 21201-1829	0x0023020000410900000020	1	1829	21201	 West Franklin Street 	420
124835	2302 CEDLEY ST BALTIMORE | MD 21230-3118	0x00151D0000205D00000020	1	3118	21230	 Cedley Street 	2302
124839	507 S BENTALOU ST BALTIMORE | MD 21223-2826	0x00B8020000203A00000020	1	2826	21223	 South Bentalou Street 	507
124849	1545 CLIFTON AVE BALTIMORE | MD 21217-1804	0x00500D0000200300000020	1	1804	21217	 Clifton Avenue 	1545
124861	2604 KEYWORTH AVE BALTIMORE | MD 21215-7637	0x000E0D0000201200000020	1	7637	21215	 Keyworth Avenue 	2604
124928	2507 SHIRLEY AVE BALTIMORE | MD 21215-7017	0x000E0D0000202800000020	1	7017	21215	 Shirley Avenue 	2507
124932	711 N GLOVER ST BALTIMORE | MD 21205-2605	0x005A060000205900000020	1	2605	21205	 North Glover Street 	711
124933	442 ELRINO ST BALTIMORE | MD 21224-2722	0x00C6180000203400000020	1	2722	21224	 Elrino Street 	442
124942	2228 CHRISTIAN ST BALTIMORE | MD 21223-2927	0x00B8020000205C00000020	1	2927	21223	 Christian Street 	2228
124951	1818 N DALLAS ST BALTIMORE | MD 21213-2207	0x004D040000204E00000020	1	2207	21213	 North Dallas Street 	1818
124964	24 S PAYSON ST BALTIMORE | MD 21223-2217	0x00DF000000203000000020	1	2217	21223	 South Payson Street 	24
124996	2485 SHIRLEY AVE BALTIMORE | MD 21215-7015	0x000E0D0000410100000020	1	7015	21215	 Shirley Avenue 	2485
125027	2434 FRANCIS ST BALTIMORE | MD 21217-1832	0x004F0D0000201200000020	1	1832	21217	 Francis Street 	2434
125033	3337 W BELVEDERE AVE BALTIMORE | MD 21215-5103	0x00E4110000200C00000020	1	5103	21215	 West Belvedere Avenue 	3337
125041	1238 ROSSITER AVE BALTIMORE | MD 21239-3829	0x0093140000203500000020	1	3829	21239	 Rossiter Avenue 	1238
125056	1614 E LANVALE ST BALTIMORE | MD 21213-2317	0x0055040000201E00000020	1	2317	21213	 East Lanvale Street 	1614
125075	617 MARKHAM RD BALTIMORE | MD 21229-4408	0x00CF1F0000202B00000020	1	4408	21229	 Markham Road 	617
125155	2542 CECIL AVE BALTIMORE | MD 21218-4819	0x0012100000494400000020	1	4819	21218	 Cecil Avenue 	2542
125175	1711 LEMMON ST BALTIMORE | MD 21223-2434	0x00F4000000203B00000020	1	2434	21223	 Lemmon Street 	1711
125181	825 HOLLINS ST BALTIMORE | MD 21201-1003	0x00EE000000203500000020	1	1003	21201	 Hollins Street 	825
125183	2461 SHIRLEY AVE BALTIMORE | MD 21215-7015	0x000E0D0000410D00000020	1	7015	21215	 Shirley Avenue 	2461
125195	1803 BAKER ST BALTIMORE | MD 21217-1604	0x0014000000201E00000020	1	1604	21217	 Baker Street 	1803
125220	1739 N BOND ST BALTIMORE | MD 21213-2336	0x0055040000200400000020	1	2336	21213	 North Bond Street 	1739
125226	3107 NORMOUNT AVE BALTIMORE | MD 21216-3820	0x008A090000420400000020	1	3820	21216	 Normount Avenue 	3107
125227	1705 LEMMON ST BALTIMORE | MD 21223-2434	0x00F4000000203800000020	1	2434	21223	 Lemmon Street 	1705
125230	821 N PORT ST BALTIMORE | MD 21205-1623	0x0048060000205400000020	1	1623	21205	 North Port Street 	821
125247	411 DENISON ST BALTIMORE | MD 21229-3044	0x00E9080000411200000020	1	3044	21229	 Denison Street 	411
125274	1703 LEMMON ST BALTIMORE | MD 21223-2434	0x00F4000000203700000020	1	2434	21223	 Lemmon Street 	1703
125277	4801-05 LORELLY AVE BALTIMORE | MD 21206	0x00B1170000200D00000020	1	0	21206	 Lorelly Avenue 	4801-05
125280	1741 N DALLAS ST BALTIMORE | MD 21213-2231	0x0054040000204A00000020	1	2231	21213	 North Dallas Street 	1741
125330	1509 E LANVALE ST BALTIMORE | MD 21213-2227	0x005D040000201900000020	1	2227	21213	 East Lanvale Street 	1509
125342	5606 CEDELLA AVE BALTIMORE | MD 21206-4319	0x009A1700004B0600000020	1	4319	21206	 Cedella Avenue 	5606
125348	2201 PENROSE AVE BALTIMORE | MD 21223-1516	0x009F000000200100000020	1	1516	21223	 Penrose Avenue 	2201
125354	1550 N FULTON AVE BALTIMORE | MD 21217-1608	0x0014000000201600000020	1	1608	21217	 North Fulton Avenue 	1550
125360	1316 SARGEANT ST BALTIMORE | MD 21223-3632	0x00FF020000205600000020	1	3632	21223	 Sargeant Street 	1316
125418	4791 CHATFORD AVE BALTIMORE | MD 21206-6866	0x00EB170000202E00000020	1	6866	21206	 Chatford Avenue 	4791
125424	1209 N GAY ST BALTIMORE | MD 21213-3138	0x00FA050000200500000020	1	3138	21213	 North Gay Street 	1209
125425	1635 N ROSEDALE ST BALTIMORE | MD 21216-3420	0x0078090000422400000020	1	3420	21216	 North Rosedale Street 	1635
125449	1556 MCKEAN AVE BALTIMORE | MD 21217-1536	0x0014000000204A00000020	1	1536	21217	 Mckean Avenue 	1556
125466	2598 DRUID PARK DR BALTIMORE | MD 21215-7836	0x00FF0C0000432800000020	1	7836	21215	 Druid Park Drive 	2598
125501	4108-12 MAPLE SHADE DR BALTIMORE | MD 21213	0x00F7170000422F00000020	1	0	21213	 Maple Shade Drive 	4108-12
125536	3401 PARK HEIGHTS AVE BALTIMORE | MD 21215-7840	0x00FF0C0000432300000020	1	7840	21215	 Park Heights Avenue 	3401
125541	1033 RIVERSIDE AVE BALTIMORE | MD 21230-4134	0x007B070000202300000020	1	4134	21230	 Riverside Avenue 	1033
125563	2126 HOLLINS ST BALTIMORE | MD 21223-2111	0x00CD000000202600000020	1	2111	21223	 Hollins Street 	2126
125566	1562 CLIFTON AVE BALTIMORE | MD 21217-1803	0x004B0D0000200700000020	1	1803	21217	 Clifton Avenue 	1562
125572	1604 N AISQUITH ST BALTIMORE | MD 21202-5802	0x0059040000200200000020	1	5802	21202	 North Aisquith Street 	1604
125598	503 MILLINGTON AVE BALTIMORE | MD 21223-2841	0x003E080000200300000020	1	2841	21223	 Millington Avenue 	503
125608	4027 ARDLEY AVE BALTIMORE | MD 21213-2105	0x00F5170000206600000020	1	2105	21213	 Ardley Avenue 	4027
125629	2624 E MADISON ST BALTIMORE | MD 21205-1704	0x004A060000203200000020	1	1704	21205	 East Madison Street 	2624
125632	3011 BELMONT AVE BALTIMORE | MD 21216-3920	0x008A090000430600000020	1	3920	21216	 Belmont Avenue 	3011
125641	2580 CECIL AVE BALTIMORE | MD 21218-4819	0x0012100000495700000020	1	4819	21218	 Cecil Avenue 	2580
125670	2030 W FAYETTE ST BALTIMORE | MD 21223-1528	0x00B0000000201000000020	1	1528	21223	 West Fayette Street 	2030
125721	236 N CAREY ST BALTIMORE | MD 21223-1887	0x00A8000000202400000020	1	1887	21223	 North Carey Street 	236
125726	1316 N LONGWOOD ST BALTIMORE | MD 21216-3925	0x008A090000431C00000020	1	3925	21216	 North Longwood Street 	1316
125731	3844 GREENSPRING AVE BALTIMORE | MD 21211-1309	0x00FF0C0000493800000020	1	1309	21211	 Greenspring Avenue 	3844
125761	1405 N CENTRAL AVE BALTIMORE | MD 21202-5715	0x006F040000202600000020	1	5715	21202	 North Central Avenue 	1405
125764	814 N GLOVER ST BALTIMORE | MD 21205-1610	0x004A060000204000000020	1	1610	21205	 North Glover Street 	814
125809	1308 W LEXINGTON ST BALTIMORE | MD 21223-3807	0x00A8000000201100000020	1	3807	21223	 West Lexington Street 	1308
125861	2941 BELMONT AVE BALTIMORE | MD 21216-3918	0x008B090000412500000020	1	3918	21216	 Belmont Avenue 	2941
125883	1612 N ELLAMONT ST BALTIMORE | MD 21216-3404	0x0089090000200700000020	1	3404	21216	 North Ellamont Street 	1612
125933	1604 N ELLAMONT ST BALTIMORE | MD 21216-3404	0x0089090000200300000020	1	3404	21216	 North Ellamont Street 	1604
125967	1502 TRACTION ST BALTIMORE | MD 21217-1750	0x004E0D0000204900000020	1	1750	21217	 Traction Street 	1502
126023	3406 LYNDALE AVE BALTIMORE | MD 21213-1612	0x00521000004B3100000020	1	1612	21213	 Lyndale Avenue 	3406
126040	1219 N EDEN ST BALTIMORE | MD 21213-2822	0x008A040000200900000020	1	2822	21213	 North Eden Street 	1219
126054	707 BELGIAN AVE BALTIMORE | MD 21218-1219	0x00440F0000201A00000020	1	1219	21218	 Belgian Avenue 	707
126083	1421 WARD ST BALTIMORE | MD 21230-1822	0x0009030000205800000020	1	1822	21230	 Ward Street 	1421
126088	1600 POPLAR GROVE ST BALTIMORE | MD 21216-3511	0x0073090000200100000020	1	3511	21216	 Poplar Grove Street 	1600
126128	5111 HARFORD RD BALTIMORE | MD 21214-2925	0x00A6160000203800000020	1	2925	21214	 Harford Road 	5111
126141	1529 EDMONDSON AVE BALTIMORE | MD 21223-1206	0x007B000000202000000020	1	1206	21223	 Edmondson Avenue 	1529
126254	1615 MCKEAN AVE BALTIMORE | MD 21217-1612	0x000E000000202400000020	1	1612	21217	 Mckean Avenue 	1615
126288	1201-03 E PRESTON ST BALTIMORE | MD 21202	0x0088040000201700000020	1	0	21202	 East Preston Street 	1201-03
126291	434 E 23RD ST BALTIMORE | MD 21218-5819	0x00F00E0000202500000020	1	5819	21218	 East 23Rd Street 	434
126311	559 PRESSTMAN ST BALTIMORE | MD 21217-3345	0x0040010000200400000020	1	3345	21217	 Presstman Street 	559
126313	1907 E 30TH ST BALTIMORE | MD 21218-3138	0x00660F0000410400000020	1	3138	21218	 East 30Th Street 	1907
126330	1223 E PRESTON ST BALTIMORE | MD 21202-5623	0x0088040000202100000020	1	5623	21202	 East Preston Street 	1223
126334	1614 MCKEAN AVE BALTIMORE | MD 21217-1611	0x000D000000410E00000020	1	1611	21217	 Mckean Avenue 	1614
126357	2217 BELAIR RD BALTIMORE | MD 21213-1337	0x0052100000450900000020	1	1337	21213	 Belair Road 	2217
126369	1756 HOMESTEAD ST BALTIMORE | MD 21218-4939	0x001B100000204100000020	1	4939	21218	 Homestead Street 	1756
126373	1610 MCKEAN AVE BALTIMORE | MD 21217-1611	0x000D000000410C00000020	1	1611	21217	 Mckean Avenue 	1610
126380	2917 BRIGHTON ST BALTIMORE | MD 21216-3910	0x0069090000411500000020	1	3910	21216	 Brighton Street 	2917
126408	125 S FULTON AVE BALTIMORE | MD 21223-2344	0x00F4000000201900000020	1	2344	21223	 South Fulton Avenue 	125
126414	1608 MCKEAN AVE BALTIMORE | MD 21217-1611	0x000D000000410B00000020	1	1611	21217	 Mckean Avenue 	1608
126415	3806 CRANSTON AVE BALTIMORE | MD 21229-1943	0x00D2090000200400000020	1	1943	21229	 Cranston Avenue 	3806
126416	1118 HOMEWOOD AVE BALTIMORE | MD 21202-5531	0x0091040000201300000020	1	5531	21202	 Homewood Avenue 	1118
126417	4400 GARRISON BLVD BALTIMORE | MD 21215-5625	0x00930A0000200600000041	1	5625	21215	 Garrison Boulevard 	4400
126438	418 EVESHAM AVE BALTIMORE | MD 21212-3004	0x00E2130000200800000020	1	3004	21212	 Evesham Avenue 	418
126456	1116 HOMEWOOD AVE BALTIMORE | MD 21202-5531	0x0091040000201200000020	1	5531	21202	 Homewood Avenue 	1116
126458	1602 MCKEAN AVE BALTIMORE | MD 21217-1611	0x000D000000410800000020	1	1611	21217	 Mckean Avenue 	1602
126471	1917 E 29TH ST BALTIMORE | MD 21218-3136	0x00660F0000203600000020	1	3136	21218	 East 29Th Street 	1917
126479	3012 PRESSTMAN ST BALTIMORE | MD 21216-3913	0x0094090000204600000020	1	3913	21216	 Presstman Street 	3012
126610	1521 HOMESTEAD ST BALTIMORE | MD 21218-4933	0x000C100000200400000020	1	4933	21218	 Homestead Street 	1521
126634	802 EDMONDSON AVE BALTIMORE | MD 21201-1422	0x00C4010000205100000020	1	1422	21201	 Edmondson Avenue 	802
126678	3010 BAKER ST BALTIMORE | MD 21216-3904	0x0078090000420600000020	1	3904	21216	 Baker Street 	3010
126726	1410 W SARATOGA ST BALTIMORE | MD 21223-1861	0x0098000000203800000020	1	1861	21223	 West Saratoga Street 	1410
126764	520 N PATTERSON PARK AVE BALTIMORE | MD 21205-2424	0x0075060000201B00000020	1	2424	21205	 North Patterson Park Avenue 	520
126808	530 N STRICKER ST BALTIMORE | MD 21223-1240	0x007B000000201000000020	1	1240	21223	 North Stricker Street 	530
126813	3219 PRESSTMAN ST BALTIMORE | MD 21216-3828	0x0097090000200900000020	1	3828	21216	 Presstman Street 	3219
126821	1831 N MOUNT ST BALTIMORE | MD 21217-1706	0x0005000000201500000020	1	1706	21217	 North Mount Street 	1831
126832	3238 GREENMOUNT AVE BALTIMORE | MD 21218-3438	0x002A0F0000200C00000020	1	3438	21218	 Greenmount Avenue 	3238
126838	404 N HILTON ST BALTIMORE | MD 21229-3028	0x00E9080000420300000020	1	3028	21229	 North Hilton Street 	404
126890	3228-32 GREENMOUNT AVE BALTIMORE | MD 21218	0x002A0F0000200C00000020	1	0	21218	 Greenmount Avenue 	3228-32
126893	1006 N EDEN ST BALTIMORE | MD 21205-1006	0x00A5040000201700000020	1	1006	21205	 North Eden Street 	1006
126906	4017 PIMLICO RD BALTIMORE | MD 21215-7040	0x00110D0000203700000020	1	7040	21215	 Pimlico Road 	4017
126924	2544 HARFORD RD BALTIMORE | MD 21218-4838	0x001B100000410700000020	1	4838	21218	 Harford Road 	2544
126927	2204 1/2 MOUNT ROYAL TER BALTIMORE | MD 21217-4810	0x007F0D0000200300000041	1	4810	21217	 1/2 Mount Royal Ter 	2204
126928	3216-18 GREENMOUNT AVE BALTIMORE | MD 21218	0x002A0F0000200700000020	1	0	21218	 Greenmount Avenue 	3216-18
126929	606 SPRINGFIELD AVE BALTIMORE | MD 21212-4831	0x0053140000200900000020	1	4831	21212	 Springfield Avenue 	606
126939	1815 N BOND ST BALTIMORE | MD 21213-2305	0x004E040000200E00000020	1	2305	21213	 North Bond Street 	1815
126959	2750 BAKER ST BALTIMORE | MD 21216-4005	0x0063090000202300000020	1	4005	21216	 Baker Street 	2750
126972	1520 RETREAT ST BALTIMORE | MD 21217-1843	0x00500D0000203B00000020	1	1843	21217	 Retreat Street 	1520
126992	1613 DIVISION ST BALTIMORE | MD 21217-3123	0x005C010000202600000020	1	3123	21217	 Division Street 	1613
127007	1838 N BOND ST BALTIMORE | MD 21213-2306	0x004D040000202900000020	1	2306	21213	 North Bond Street 	1838
127032	522 N MILTON AVE BALTIMORE | MD 21205-2505	0x0077060000201E00000020	1	2505	21205	 North Milton Avenue 	522
127077	2711 THE ALAMEDA BALTIMORE | MD 21218-4921	0x005F0F0000201400000020	1	4921	21218	 The Alameda 	2711
127078	518 N MILTON AVE BALTIMORE | MD 21205-2505	0x0077060000201C00000020	1	2505	21205	 North Milton Avenue 	518
127083	1609 SPENCE ST BALTIMORE | MD 21230-1328	0x007D1E0000440900000020	1	1328	21230	 Spence Street 	1609
127094	2322 E PRESTON ST BALTIMORE | MD 21213-3540	0x00EF050000200C00000020	1	3540	21213	 East Preston Street 	2322
127095	4233 EUCLID AVE BALTIMORE | MD 21229-3512	0x00F1090000202200000020	1	3512	21229	 Euclid Avenue 	4233
127108	4227 IVANHOE AVE BALTIMORE | MD 21212-4922	0x00850F0000440E00000020	1	4922	21212	 Ivanhoe Avenue 	4227
127219	4249 SHELDON AVE BALTIMORE | MD 21206-6404	0x0028170000203400000020	1	6404	21206	 Sheldon Avenue 	4249
127292	1252 WASHINGTON BLVD BALTIMORE | MD 21230-1827	0x0000030000201B00000020	1	1827	21230	 Washington Boulevard 	1252
127296	1420 N BETHEL ST BALTIMORE | MD 21213-3002	0x0072040000207000000020	1	3002	21213	 North Bethel Street 	1420
127307	209 S FULTON AVE BALTIMORE | MD 21223-3004	0x0005010000201300000020	1	3004	21223	 South Fulton Avenue 	209
127309	4209 MASSACHUSETTS AVE BALTIMORE | MD 21229-3515	0x00F0090000200A00000020	1	3515	21229	 Massachusetts Avenue 	4209
127362	3703 PARKSIDE DR BALTIMORE | MD 21206-6324	0x000A170000431100000020	1	6324	21206	 Parkside Drive 	3703
