	Full Address	BLT	Vacant	zip+4	zip	street	housenumber
54945	1133 POPLAR GROVE ST BALTIMORE | MD 21216-4341	0x0054090000202100000044	1	4341	21216	 Poplar Grove Street 	1133
54951	5111 BELAIR RD BALTIMORE | MD 21206-5104	0x0061170000200900000041	1	5104	21206	 Belair Road 	5111
54953	4540 PIMLICO RD BALTIMORE | MD 21215-6446	0x001212000041590000004D	1	6446	21215	 Pimlico Road 	4540
54982	3037 E MONUMENT ST BALTIMORE | MD 21205-2752	0x006E060000202000000020	1	2752	21205	 East Monument Street 	3037
54995	1137 POPLAR GROVE ST BALTIMORE | MD 21216-4341	0x0054090000202100000046	1	4341	21216	 Poplar Grove Street 	1137
55005	2802 MONTEBELLO TER BALTIMORE | MD 21214-3138	0x00E2140000200F00000041	1	3138	21214	 Montebello Ter 	2802
55008	420 N COLLINGTON AVE BALTIMORE | MD 21231-1308	0x0085060000202600000020	1	1308	21231	 North Collington Avenue 	420
55060	4718 PIMLICO RD BALTIMORE | MD 21215-6403	0x000F120000203900000020	1	6403	21215	 Pimlico Road 	4718
55101	919 BENNETT PL BALTIMORE | MD 21223-1312	0x0081000000204800000020	1	1312	21223	 Bennett Place 	919
55106	2819 WINCHESTER ST BALTIMORE | MD 21216-4331	0x0054090000202200000049	1	4331	21216	 Winchester Street 	2819
55113	1241 N POTOMAC ST BALTIMORE | MD 21213-3929	0x0007060000201500000020	1	3929	21213	 North Potomac Street 	1241
55116	528 S PACA ST BALTIMORE | MD 21230-2425	0x00AE020000200F00000020	1	2425	21230	 South Paca Street 	528
55149	4025 ROSECREST AVE BALTIMORE | MD 21215-3428	0x00D2100000415600000045	1	3428	21215	 Rosecrest Avenue 	4025
55155	912 BENNETT PL BALTIMORE | MD 21223-1311	0x0081000000207100000020	1	1311	21223	 Bennett Place 	912
55263	309 S BAYLIS ST BALTIMORE | MD 21224-2306	0x00A9180000411500000020	1	2306	21224	 South Baylis Street 	309
55309	4008 W FRANKLIN ST BALTIMORE | MD 21229-2915	0x00F7080000201E00000020	1	2915	21229	 West Franklin Street 	4008
55344	1205 N MILTON AVE BALTIMORE | MD 21213-3605	0x0002060000200900000020	1	3605	21213	 North Milton Avenue 	1205
55395	1623 MONTPELIER ST BALTIMORE | MD 21218-4843	0x0012100000421300000020	1	4843	21218	 Montpelier Street 	1623
55414	3044 CHESTERFIELD AVE BALTIMORE | MD 21213-1702	0x0013170000201F00000020	1	1702	21213	 Chesterfield Avenue 	3044
55516	122 S POTOMAC ST BALTIMORE | MD 21224-2251	0x00D6060000202F00000020	1	2251	21224	 South Potomac Street 	122
55531	412 N LOUDON AVE BALTIMORE | MD 21229-2917	0x00F9080000200700000020	1	2917	21229	 North Loudon Avenue 	412
55540	2217 ECHODALE AVE BALTIMORE | MD 21214-1929	0x00FA140000410E00000041	1	1929	21214	 Echodale Avenue 	2217
